feature_name,feature_family,economic_interpretation,notes
sec_chunk_count,event_nlp,"SEC filing tone, sentiment probability mix, and document intensity.",
sec_log_chunk_count,event_nlp,"SEC filing tone, sentiment probability mix, and document intensity.",
sec_negative_change_prev,event_nlp,"SEC filing tone, sentiment probability mix, and document intensity.",
sec_negative_prob,event_nlp,"SEC filing tone, sentiment probability mix, and document intensity.",
sec_neutral_prob,event_nlp,"SEC filing tone, sentiment probability mix, and document intensity.",
sec_positive_change_prev,event_nlp,"SEC filing tone, sentiment probability mix, and document intensity.",
sec_positive_prob,event_nlp,"SEC filing tone, sentiment probability mix, and document intensity.",
sec_sentiment_abs,event_nlp,"SEC filing tone, sentiment probability mix, and document intensity.",
sec_sentiment_change_prev,event_nlp,"SEC filing tone, sentiment probability mix, and document intensity.",
sec_sentiment_score,event_nlp,"SEC filing tone, sentiment probability mix, and document intensity.",
accruals_ratio,fundamentals,"Accounting quality, balance-sheet strength, profitability, and growth.",
asset_turnover,fundamentals,"Accounting quality, balance-sheet strength, profitability, and growth.",
cash_ratio,fundamentals,"Accounting quality, balance-sheet strength, profitability, and growth.",
cfo_to_net_income,fundamentals,"Accounting quality, balance-sheet strength, profitability, and growth.",
current_ratio,fundamentals,"Accounting quality, balance-sheet strength, profitability, and growth.",
debt_to_assets,fundamentals,"Accounting quality, balance-sheet strength, profitability, and growth.",
debt_to_equity,fundamentals,"Accounting quality, balance-sheet strength, profitability, and growth.",
earnings_growth_qoq,fundamentals,"Accounting quality, balance-sheet strength, profitability, and growth.",
growth_quality_profile_score,fundamentals,"Accounting quality, balance-sheet strength, profitability, and growth.",
liquidity_profile_score,fundamentals,"Accounting quality, balance-sheet strength, profitability, and growth.",
long_term_debt_ratio,fundamentals,"Accounting quality, balance-sheet strength, profitability, and growth.",
net_margin,fundamentals,"Accounting quality, balance-sheet strength, profitability, and growth.",
operating_margin,fundamentals,"Accounting quality, balance-sheet strength, profitability, and growth.",
overall_financial_health_score,fundamentals,"Accounting quality, balance-sheet strength, profitability, and growth.",
profitability_profile_score,fundamentals,"Accounting quality, balance-sheet strength, profitability, and growth.",
quick_ratio,fundamentals,"Accounting quality, balance-sheet strength, profitability, and growth.",
revenue_growth_qoq,fundamentals,"Accounting quality, balance-sheet strength, profitability, and growth.",
roa,fundamentals,"Accounting quality, balance-sheet strength, profitability, and growth.",
roe,fundamentals,"Accounting quality, balance-sheet strength, profitability, and growth.",
solvency_profile_score,fundamentals,"Accounting quality, balance-sheet strength, profitability, and growth.",
working_capital_to_total_assets,fundamentals,"Accounting quality, balance-sheet strength, profitability, and growth.",
abnormal_volume_flag,liquidity_trading,"Volume level, abnormal turnover, and trading intensity.",
log_volume,liquidity_trading,"Volume level, abnormal turnover, and trading intensity.",
volume_ratio_20d,liquidity_trading,"Volume level, abnormal turnover, and trading intensity.",
abs_return_shock_1d,momentum_returns,Short-horizon relative returns and recent price shock behavior.,
drawdown_21d,momentum_returns,Short-horizon relative returns and recent price shock behavior.,
overnight_gap_1d,momentum_returns,Short-horizon relative returns and recent price shock behavior.,
rel_return_10d,momentum_returns,Short-horizon relative returns and recent price shock behavior.,
rel_return_21d,momentum_returns,Short-horizon relative returns and recent price shock behavior.,
rel_return_5d,momentum_returns,Short-horizon relative returns and recent price shock behavior.,
return_zscore_21d,momentum_returns,Short-horizon relative returns and recent price shock behavior.,
current_filing_fundamentals_available,timing_context,Recency and event/current-snapshot context flags.,
days_since_prior_event,timing_context,Recency and event/current-snapshot context flags.,
days_since_prior_same_event_type,timing_context,Recency and event/current-snapshot context flags.,
fund_snapshot_is_current_event,timing_context,Recency and event/current-snapshot context flags.,
beta_63d_to_sector,volatility_risk,"Trailing risk regime, sector beta, and volatility scaling.",
realized_vol_21d,volatility_risk,"Trailing risk regime, sector beta, and volatility scaling.",
realized_vol_63d,volatility_risk,"Trailing risk regime, sector beta, and volatility scaling.",
vol_ratio_21d_63d,volatility_risk,"Trailing risk regime, sector beta, and volatility scaling.",
