feature_name,feature_family
current_ratio,fundamentals
quick_ratio,fundamentals
cash_ratio,fundamentals
working_capital_to_total_assets,fundamentals
debt_to_equity,fundamentals
debt_to_assets,fundamentals
long_term_debt_ratio,fundamentals
operating_margin,fundamentals
net_margin,fundamentals
roa,fundamentals
roe,fundamentals
asset_turnover,fundamentals
revenue_growth_qoq,fundamentals
earnings_growth_qoq,fundamentals
cfo_to_net_income,fundamentals
accruals_ratio,fundamentals
liquidity_profile_score,fundamentals
solvency_profile_score,fundamentals
profitability_profile_score,fundamentals
growth_quality_profile_score,fundamentals
overall_financial_health_score,fundamentals
rel_return_5d,momentum_returns
rel_return_10d,momentum_returns
rel_return_21d,momentum_returns
realized_vol_21d,volatility_risk
realized_vol_63d,volatility_risk
vol_ratio_21d_63d,volatility_risk
beta_63d_to_sector,volatility_risk
overnight_gap_1d,momentum_returns
abs_return_shock_1d,momentum_returns
drawdown_21d,momentum_returns
return_zscore_21d,momentum_returns
volume_ratio_20d,liquidity_trading
log_volume,liquidity_trading
abnormal_volume_flag,liquidity_trading
sec_sentiment_score,event_nlp
sec_positive_prob,event_nlp
sec_negative_prob,event_nlp
sec_neutral_prob,event_nlp
sec_sentiment_abs,event_nlp
sec_sentiment_change_prev,event_nlp
sec_positive_change_prev,event_nlp
sec_negative_change_prev,event_nlp
sec_chunk_count,event_nlp
sec_log_chunk_count,event_nlp
days_since_prior_event,timing_context
days_since_prior_same_event_type,timing_context
current_filing_fundamentals_available,timing_context
fund_snapshot_is_current_event,timing_context
