regime_name,selected_model_name,feature_family,usable_feature_count
levels_only,logistic_regression,base_or_other,43
levels_only,logistic_regression,level,7
levels_plus_deltas,logistic_regression,base_or_other,43
levels_plus_deltas,logistic_regression,delta,5
levels_plus_deltas,logistic_regression,legacy_delta,38
levels_plus_deltas,logistic_regression,level,7
levels_plus_deltas_plus_cross_sectional,logistic_regression,base_or_other,43
levels_plus_deltas_plus_cross_sectional,logistic_regression,cross_sectional,3
levels_plus_deltas_plus_cross_sectional,logistic_regression,delta,5
levels_plus_deltas_plus_cross_sectional,logistic_regression,legacy_delta,38
levels_plus_deltas_plus_cross_sectional,logistic_regression,level,7
