benchmark_name,selected_model_name,group_type,group_name,usable_feature_count
core_no_sentiment,random_forest,sentiment_group,broad_filing_sentiment,0
core_no_sentiment,random_forest,sentiment_group,combined_sentiment_block,0
core_no_sentiment,random_forest,sentiment_group,event_specific_sentiment,0
broad_filing_sentiment_only,random_forest,sentiment_group,broad_filing_sentiment,10
broad_filing_sentiment_only,random_forest,sentiment_group,combined_sentiment_block,10
broad_filing_sentiment_only,random_forest,sentiment_group,event_specific_sentiment,0
event_specific_sentiment_only,random_forest,sentiment_group,broad_filing_sentiment,0
event_specific_sentiment_only,random_forest,sentiment_group,combined_sentiment_block,14
event_specific_sentiment_only,random_forest,sentiment_group,event_specific_sentiment,14
combined_sentiment_block,random_forest,sentiment_group,broad_filing_sentiment,10
combined_sentiment_block,random_forest,sentiment_group,combined_sentiment_block,24
combined_sentiment_block,random_forest,sentiment_group,event_specific_sentiment,14
