model_name,fold_label,evaluation_role,rank,feature,importance_mean
logistic_regression,fold_1,validation,1,qfd_v3_total_debt_to_assets_d1,1.1336144919820317
logistic_regression,fold_1,validation,2,qfd_es_sentiment_entropy,0.8915296171301098
logistic_regression,fold_1,validation,3,qfd_v2_roa_zsec,0.7623185751919087
logistic_regression,fold_2,validation,1,qfd_delta_overall_financial_health_score,1.1711328853126954
logistic_regression,fold_2,validation,2,qfd_short_cycle_flag,1.148129218660812
logistic_regression,fold_2,validation,3,days_since_prior_event,1.0007068228121023
logistic_regression,fold_3,validation,1,qfd_es_sentiment_entropy,1.0296740930029369
logistic_regression,fold_3,validation,2,av_trailing_4q_eps_surprise_pct_mean,0.8956072324253395
logistic_regression,fold_3,validation,3,qfd_v3_leverage_change_qoq_d1,0.8542424297976069
logistic_regression,fold_4,validation,1,av_trailing_4q_eps_surprise_pct_std,1.4800517294150377
logistic_regression,fold_4,validation,2,qfd_es_sentiment_entropy,1.3313746808685485
logistic_regression,fold_4,validation,3,qfd_prior_same_type_gap_bucket,0.9714349751779527
logistic_regression,fold_5,validation,1,qfd_prior_same_type_gap_bucket,1.3352430340107304
logistic_regression,fold_5,validation,2,av_trailing_4q_eps_surprise_pct_std,1.2550183378652624
logistic_regression,fold_5,validation,3,av_revenue_estimate_analyst_count_before_event,1.067559411276973
logistic_regression,holdout,holdout_eval,1,qfd_es_sentiment_entropy,1.1785618615561664
logistic_regression,holdout,holdout_eval,2,qfd_prior_same_type_gap_bucket,1.0797679426258293
logistic_regression,holdout,holdout_eval,3,av_revenue_estimate_analyst_count_before_event,1.055074477593881
random_forest,fold_1,validation,1,revenue_growth_qoq,0.052357623866315525
random_forest,fold_1,validation,2,qfd_es_sentiment_entropy,0.03956927860817004
random_forest,fold_1,validation,3,qfd_v2_roa_zsec,0.038286322190392144
random_forest,fold_2,validation,1,av_trailing_4q_eps_surprise_pct_mean,0.0429298133037647
random_forest,fold_2,validation,2,qfd_av_surprise_pct_consistency,0.04101872859671017
random_forest,fold_2,validation,3,qfd_av_surprise_consistency,0.033899261066966814
random_forest,fold_3,validation,1,qfd_av_surprise_pct_consistency,0.05049436613534501
random_forest,fold_3,validation,2,av_trailing_4q_eps_surprise_pct_mean,0.04267270457128984
random_forest,fold_3,validation,3,qfd_es_filing_negative_prob,0.02956066397656034
random_forest,fold_4,validation,1,qfd_es_filing_neutral_prob,0.031772315153575516
random_forest,fold_4,validation,2,qfd_av_surprise_pct_consistency,0.030284491290686298
random_forest,fold_4,validation,3,qfd_es_sentiment_entropy,0.02995791750031555
random_forest,fold_5,validation,1,qfd_av_surprise_pct_consistency,0.033503435340818837
random_forest,fold_5,validation,2,av_trailing_4q_eps_surprise_pct_mean,0.030568299885092774
random_forest,fold_5,validation,3,qfd_av_revision_plus_surprise,0.028010134279203028
random_forest,holdout,holdout_eval,1,av_trailing_4q_eps_surprise_pct_mean,0.03010466637535562
random_forest,holdout,holdout_eval,2,qfd_av_surprise_pct_consistency,0.028141418907548767
random_forest,holdout,holdout_eval,3,qfd_log_days_since_prior_event,0.02380870822590625
hist_gradient_boosting,fold_1,validation,1,qfd_es_filing_negative_prob_delta_prev_q,0.0328273244781784
hist_gradient_boosting,fold_1,validation,2,qfd_es_filing_negative_prob,0.018975332068311212
hist_gradient_boosting,fold_1,validation,3,qfd_es_sentiment_entropy,0.01764705882352946
hist_gradient_boosting,fold_2,validation,1,qfd_es_filing_negative_prob,0.013181818181818161
hist_gradient_boosting,fold_2,validation,2,qfd_es_filing_sentiment_delta_prev_q,0.01212121212121211
hist_gradient_boosting,fold_2,validation,3,days_since_prior_event,0.010303030303030303
hist_gradient_boosting,fold_3,validation,1,qfd_v2_debt_to_assets_d1_ranksec,0.02752525252525253
hist_gradient_boosting,fold_3,validation,2,net_margin,0.023484848484848487
hist_gradient_boosting,fold_3,validation,3,av_latest_prior_eps_surprise_pct_before_event,0.02070707070707072
hist_gradient_boosting,fold_4,validation,1,qfd_v2_accruals_ratio_zsec,0.037894736842105245
hist_gradient_boosting,fold_4,validation,2,av_latest_quarterly_eps_estimate_before_event,0.02147368421052629
hist_gradient_boosting,fold_4,validation,3,qfd_v3_leverage_change_qoq_d1,0.014947368421052598
hist_gradient_boosting,fold_5,validation,1,qfd_es_filing_positive_prob,0.037028571428571425
hist_gradient_boosting,fold_5,validation,2,qfd_delta_earnings_growth_qoq,0.016914285714285694
hist_gradient_boosting,fold_5,validation,3,qfd_v2_accruals_ratio_zsec,0.015542857142857146
hist_gradient_boosting,holdout,holdout_eval,1,days_since_prior_event,0.05488721804511276
hist_gradient_boosting,holdout,holdout_eval,2,qfd_es_filing_positive_prob_delta_prev_q,0.04135338345864661
hist_gradient_boosting,holdout,holdout_eval,3,qfd_delta_net_margin,0.031954887218045055
xgboost,fold_1,validation,1,qfd_v2_net_margin_lvl,0.030695609748363495
xgboost,fold_1,validation,2,revenue_growth_qoq,0.02885664999485016
xgboost,fold_1,validation,3,cash_ratio,0.028037039563059807
xgboost,fold_2,validation,1,roe,0.03322603926062584
xgboost,fold_2,validation,2,qfd_av_surprise_consistency,0.0313403382897377
xgboost,fold_2,validation,3,av_trailing_4q_eps_surprise_pct_mean,0.028752954676747322
xgboost,fold_3,validation,1,qfd_log_days_since_prior_event,0.021230939775705338
xgboost,fold_3,validation,2,qfd_av_latest_surprise_vs_trailing_pct,0.021121304482221603
xgboost,fold_3,validation,3,total_debt_to_assets,0.020348908379673958
xgboost,fold_4,validation,1,qfd_av_latest_surprise_above_trailing_flag,0.023477353155612946
xgboost,fold_4,validation,2,qfd_av_revision_plus_surprise,0.02069726027548313
xgboost,fold_4,validation,3,total_debt_to_assets,0.018563557416200638
xgboost,fold_5,validation,1,qfd_av_latest_surprise_vs_trailing_pct_bucket,0.017149856314063072
xgboost,fold_5,validation,2,av_latest_prior_eps_surprise_pct_before_event,0.016992470249533653
xgboost,fold_5,validation,3,qfd_profile_delta_combo,0.015832964330911636
xgboost,holdout,holdout_eval,1,qfd_short_cycle_flag,0.02003130316734314
xgboost,holdout,holdout_eval,2,growth_quality_profile_score,0.015708189457654953
xgboost,holdout,holdout_eval,3,av_trailing_4q_eps_surprise_pct_mean,0.015157017856836319
catboost,fold_1,validation,1,qfd_es_sentiment_entropy,7.108501159370021
catboost,fold_1,validation,2,revenue_growth_qoq,6.2932899382948815
catboost,fold_1,validation,3,qfd_v2_roa_zsec,5.818345399990364
catboost,fold_2,validation,1,roe,5.098183917633533
catboost,fold_2,validation,2,qfd_event_gap_ratio,4.890369551305228
catboost,fold_2,validation,3,earnings_growth_qoq,4.569479444806226
catboost,fold_3,validation,1,qfd_av_latest_surprise_vs_trailing_pct_abs,4.3832350392006125
catboost,fold_3,validation,2,earnings_growth_qoq,4.286951990066173
catboost,fold_3,validation,3,qfd_av_latest_surprise_vs_trailing_pct,3.810086124616849
catboost,fold_4,validation,1,qfd_av_latest_surprise_vs_trailing_pct_abs,5.028168284246333
catboost,fold_4,validation,2,qfd_es_sentiment_entropy,4.176017490447461
catboost,fold_4,validation,3,qfd_av_surprise_pct_consistency,3.7415185585313653
catboost,fold_5,validation,1,qfd_av_revision_plus_surprise,3.825393067743868
catboost,fold_5,validation,2,qfd_v2_accruals_ratio_zsec,3.761565866317839
catboost,fold_5,validation,3,qfd_es_filing_positive_prob,3.690677531996779
catboost,holdout,holdout_eval,1,qfd_es_filing_positive_prob,4.276074808951068
catboost,holdout,holdout_eval,2,qfd_av_surprise_pct_consistency,3.5879654563279857
catboost,holdout,holdout_eval,3,av_latest_quarterly_eps_estimate_before_event,3.451784364394643
